"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
55,"Jaçanã",1635,NA,205,3300,825,410,520,48800,17530,NA,2405009,54.561,7834,143.58,98.6,0.604,"-",36367490.93,30842364.76,9248.51,"RN"
56,"Jandaíra",3406,NA,200,463,220,918,2898,4140,2104,NA,2405108,442.754,6562,14.82,98.3,0.569,"12.5",55621257.33,61790761.8,14685.2,"RN"
57,"Janduís",6075,NA,500,1900,485,1550,11000,17500,8300,NA,2405207,303.448,4746,15.64,97.4,0.615,"19.23",33866813.67,30018116.33,16162.7,"RN"
58,"Januário Cicco",4800,NA,390,700,150,120,1000,7000,4500,NA,2405306,170.737,9051,53.01,96.4,0.574,"19.42",48829467.94,46995970.07,8189.45,"RN"
59,"Japi",4730,NA,125,1900,550,4500,2310,8195,6050,NA,2405405,188.99,5117,27.08,97.8,0.569,"-",31554767.86,27704091.7,10445.41,"RN"
60,"Jardim de Angicos",8500,NA,212,800,240,3224,6592,7750,6204,NA,2405504,254.022,2437,9.59,97.1,0.565,"28.57",28651165.23,26231965.02,24766.12,"RN"
61,"Jardim de Piranhas",19550,NA,735,2415,330,1185,4270,33100,19800,NA,2405603,330.53,13977,42.29,96.5,0.603,"11.76",67027424.4,59987496.38,14179.47,"RN"
62,"Jardim do Seridó",13450,NA,465,4240,848,2840,18995,28450,19915,NA,2405702,367.645,11655,31.7,99.6,0.663,"22.47",50895573.01,43533946.98,16777.7,"RN"
63,"João Câmara",16370,NA,820,2500,750,5750,2992,25000,20000,NA,2405801,714.961,33290,46.56,97.8,0.595,"5.66",161266730.53,162073259.3,35911.78,"RN"
64,"João Dias",1000,NA,75,500,100,1000,500,6300,1930,NA,2405900,88.173,2076,23.54,87.8,0.53,"-",23471197.91,26067122.75,10550.88,"RN"
65,"José da Penha",7145,NA,200,3346,805,5708,891,13100,4050,NA,2406007,117.635,5803,49.33,98.3,0.608,"-",36094453.86,32550183.08,11347.37,"RN"
66,"Jucurutu",29209,NA,1400,15945,4000,3400,15200,37849,24601,NA,2406106,933.73,17793,19.06,98.5,0.601,"27.17",86357471.79,77936416.72,17226.13,"RN"
67,"Jundiá",2400,NA,80,420,250,120,750,5000,2500,NA,2406155,44.641,3739,83.76,97,0.595,"-",29214281.88,25845150.66,10683.94,"RN"
68,"Lagoa d'Anta",2200,NA,340,460,160,460,920,8500,3200,NA,2406205,105.652,6654,62.98,95.7,0.601,"-",36050854.71,33036356.81,10339.92,"RN"
69,"Lagoa de Pedras",7000,NA,240,1300,950,550,700,7000,5500,NA,2406304,117.971,7338,62.2,98.8,0.553,"-",36208460.52,37611332.88,10674.5,"RN"
70,"Lagoa de Velhos",5000,5,323,1064,328,363,543,7500,6000,NA,2406403,111.607,2567,23,97.5,0.589,"31.25",30792330.61,27342368.16,13997.62,"RN"
71,"Lagoa Nova",5995,NA,658,4466,1488,310,2085,27210,15750,NA,2406502,176.302,15573,88.33,95.5,0.585,"17.94",79392603.05,72881738.62,16941.79,"RN"
72,"Lagoa Salgada",3600,NA,150,1650,600,200,1000,7300,4200,NA,2406601,79.128,8319,105.13,96,0.582,"23.62",40283668.86,38390535.33,11297.65,"RN"
