"X","NM_MUN","Bovino","Bubalino","Equino","Suinos","Suino_Matrizes","Caprino","Ovino","Galinaceos","Galinaceos_Galinhas","Codornas","Codigo","Área_km2","Pop_residente","Densi_demo","Escolarizacao","IDHM","Mort_inf","Tot_receita_bruta","Tot_despesas_brutas","PIB_cap","SIGLA_UF"
29,"Boa Hora",1692,NA,92,5576,836,3699,1223,14489,4202,NA,2201770,336.954,6902,20.48,99,0.575,"44.78",34313591.58,32770416.08,9127.74,"PI"
30,"Bocaina",3225,NA,75,2361,648,2858,1960,11857,3319,NA,2201804,261.651,4078,15.59,97.4,0.632,"-",28811053.99,26138149.59,10594.7,"PI"
31,"Bom Jesus",26021,NA,546,1903,285,870,3202,38750,13557,NA,2201903,5471.024,28796,5.26,97.9,0.668,"18.15",205235556.39,176664032.7,55119.81,"PI"
32,"Bom Princípio do Piauí",3016,NA,114,2727,410,1794,1665,10916,3492,NA,2201919,523.142,5636,10.77,97.7,0.532,"11.36",35732436.58,34387669.23,12374.89,"PI"
33,"Bonfim do Piauí",1586,NA,386,4949,865,14558,7369,20437,7011,NA,2201929,289.149,5913,20.45,97.6,0.542,"-",31487800.74,28286063.75,9288.55,"PI"
34,"Boqueirão do Piauí",1291,NA,70,5845,847,4137,997,11669,3778,NA,2201945,269.786,6545,24.26,98.8,0.56,"-",31235374.35,29728968.55,8028.09,"PI"
35,"Brasileira",4223,NA,169,7379,1370,9362,3270,22915,4581,NA,2201960,880.836,8436,9.58,96.7,0.577,"-",53061364.47,44812504.55,8288.44,"PI"
36,"Brejo do Piauí",5476,NA,378,4540,670,12409,10601,15485,5369,NA,2201988,2267.327,3904,1.72,98,0.515,"-",37148164.33,31792229.38,11500.45,"PI"
37,"Buriti dos Lopes",5967,NA,299,4138,620,3002,2586,176388,8011,NA,2202000,690.54,19654,28.46,97.5,0.565,"6.83",113117459.08,100445121.1,10828.33,"PI"
38,"Buriti dos Montes",6806,NA,193,3001,393,19698,10324,25145,5379,NA,2202026,2437.326,7434,3.05,98.3,0.574,"16.39",51527796.33,49720110.57,8414.58,"PI"
39,"Cabeceiras do Piauí",5627,NA,475,14980,2427,12320,4372,33749,9652,NA,2202059,608.747,10212,16.78,98.3,0.583,"36.36",47187714.3,41316649.77,8071.8,"PI"
